id,n_clusters,idA,idB,rpd:davies_bouldin,rpd:dunn_index,rpd:calinski_harabasz,rpd:silhouette,rpdBin:davies_bouldin,rpdBin:dunn_index,rpdBin:calinski_harabasz,rpdBin:silhouette,best:silhouette,best:calinski_harabasz,best:dunn_index,best:davies_bouldin
00A87W92PAZCZZ055HJR-3JENDNVFSG3176DTWWWF,4,00A87W92PAZCZZ055HJR,3JENDNVFSG3176DTWWWF,25.80150298171086,7.621591444405386,40.16395229695263,23.0390382767084,26,8,40,23,A,A,A,A
0179ZZQ38GKT7V8AP630-FQEDN2RB88CCHPDAY3PB,2,0179ZZQ38GKT7V8AP630,FQEDN2RB88CCHPDAY3PB,13.40988043739388,41.21828736849739,71.22463468564763,23.99259170199888,13,41,71,24,B,B,B,B
01D42XYDNATN92M99X37-4Z5W66ZWS1EZET58304A,2,01D42XYDNATN92M99X37,4Z5W66ZWS1EZET58304A,2.192157903625803,5.437214059201915,8.39846973777331,1.4429403186071954,2,5,8,1,B,B,B,A
01J8YS1BMH2T4CF7TKT0-CP6WJBHQQ851PQ1JTN76,2,01J8YS1BMH2T4CF7TKT0,CP6WJBHQQ851PQ1JTN76,2.79488351640621,10.516568157931006,21.83053705755516,1.0326244008614631,3,11,22,1,A,B,B,A
02TR7NXQ8XC8B47373CB-CYN9RA3XJSYCWCGKDY87,5,02TR7NXQ8XC8B47373CB,CYN9RA3XJSYCWCGKDY87,25.78060167978301,30.095515183816374,54.01442613556948,5.520926151731391,26,30,54,6,A,A,A,A
038YME1X52FRBENFZHKW-N6A32VA3FF9N981MR5DB,5,038YME1X52FRBENFZHKW,N6A32VA3FF9N981MR5DB,42.52142626363104,107.57256305902612,102.66288772153764,55.90308234333607,43,108,103,56,A,A,A,A
0430SA5F79TW00ZMBQAH-1RC72T5A452FWTVEGX39,4,0430SA5F79TW00ZMBQAH,1RC72T5A452FWTVEGX39,35.651427167724385,50.49569234496576,59.74441938069961,26.1614476508395,36,50,60,26,A,A,A,A
046FSHNSW30BVZS8WTQ0-CGD6Y6QNW8N5MRAW97KP,3,046FSHNSW30BVZS8WTQ0,CGD6Y6QNW8N5MRAW97KP,86.62484111018772,113.89269243242484,148.75109460111267,46.063678843017975,87,114,149,46,A,A,A,A
04899WHVEKQE8KBR3064-12B45VWP2ZHZW6R2R44E,5,04899WHVEKQE8KBR3064,12B45VWP2ZHZW6R2R44E,0.7159451019269376,2.2540156490999195,2.9423758512156395,0.4977520957533793,1,2,3,0,B,B,B,B
04BVHF9JX3M5YEFJYQMC-9VE466BGTBDNT730NJJA,2,04BVHF9JX3M5YEFJYQMC,9VE466BGTBDNT730NJJA,24.86022536056386,38.127897903042765,75.27854417016496,28.42126038093857,25,38,75,28,A,A,A,A
04YJ590C2T1NJEJQ1T5M-ZTTJZWA3QF0X0V1QKJD6,4,04YJ590C2T1NJEJQ1T5M,ZTTJZWA3QF0X0V1QKJD6,10.29937655677331,37.4638617584608,9.935721254542347,7.314116493475417,10,37,10,7,B,A,B,B
04YR4513BV9RF9C9CQRX-DGERBQRT708WJ7HMDMZP,5,04YR4513BV9RF9C9CQRX,DGERBQRT708WJ7HMDMZP,0.3386335038764047,19.355929133911317,2.7107834956183967,2.434542965240457,0,19,3,2,B,B,B,B
06833TEHZ5J4HYP6RW6Z-TWTN9CHXH3RJCDHY0A3N,4,06833TEHZ5J4HYP6RW6Z,TWTN9CHXH3RJCDHY0A3N,4.449659858719578,7.079206949138669,2.264109496923829,6.274707322481925,4,7,2,6,B,A,A,B
06FE3C4Y2VNB9WB6YWTW-71NX6C5F06PMMY0DWYQ7,4,06FE3C4Y2VNB9WB6YWTW,71NX6C5F06PMMY0DWYQ7,13.083281703343124,15.688810433109357,40.5506243654541,8.734548807797202,13,16,41,9,A,A,A,A
0779PZZ5A90YA2ZNC5Q2-WNH5BEEC9WGKH569Q2WG,4,0779PZZ5A90YA2ZNC5Q2,WNH5BEEC9WGKH569Q2WG,7.823277659993188,27.537054193380182,36.30020484029306,7.657822342055397,8,28,36,8,A,A,A,A
0779PZZ5A90YA2ZNC5Q2-WNH5BEEC9WGKH569Q2WG,4,0779PZZ5A90YA2ZNC5Q2,WNH5BEEC9WGKH569Q2WG,7.823277659993188,27.537054193380182,36.30020484029306,7.657822342055397,8,28,36,8,A,A,A,A
08KV9WM79G3RN97883NX-D36T7JZAH9YTQ6DFEWPM,5,08KV9WM79G3RN97883NX,D36T7JZAH9YTQ6DFEWPM,4.5954940703180185,29.63983841735033,0.8958286865122919,0.0506270175124392,5,30,1,0,A,A,B,B
0962V5BGJ958PDX5MD3Q-QYQKGJKCXAAZ22BE5ZK8,4,0962V5BGJ958PDX5MD3Q,QYQKGJKCXAAZ22BE5ZK8,34.73715726353392,138.29947123996334,71.35181359964477,40.70592294757161,35,138,71,41,B,B,B,B
0962V5BGJ958PDX5MD3Q-QYQKGJKCXAAZ22BE5ZK8,4,0962V5BGJ958PDX5MD3Q,QYQKGJKCXAAZ22BE5ZK8,34.73715726353392,138.29947123996334,71.35181359964477,40.70592294757161,35,138,71,41,B,B,B,B
0989AZF5SS0HKACW0H10-8RKZCC8PJJF7E8M0ZPSV,5,0989AZF5SS0HKACW0H10,8RKZCC8PJJF7E8M0ZPSV,17.8022384233995,58.88783660281887,44.02493954596439,19.48709500610595,18,59,44,19,A,A,A,A
0AVX1F1NHZP02XY7888D-WTTX5H8CP3FDYWJ0PDWZ,3,0AVX1F1NHZP02XY7888D,WTTX5H8CP3FDYWJ0PDWZ,39.13413909184153,44.18763922379449,106.01308929793652,26.693337580231837,39,44,106,27,B,B,B,B
0B91ZWH7A7KEV6EJ0GK6-FSTBT16YVHKQK9WFS4XE,4,0B91ZWH7A7KEV6EJ0GK6,FSTBT16YVHKQK9WFS4XE,12.775530052348207,69.07797054287946,7.432445011891193,10.10157512223886,13,69,7,10,B,B,B,A
0BGZ0TYT96JQBXM5CCVN-AWJEMRRS0Z7J66B2HEXF,4,0BGZ0TYT96JQBXM5CCVN,AWJEMRRS0Z7J66B2HEXF,50.45291830758876,44.080792804873234,61.5402664632184,17.74514750543462,50,44,62,18,B,B,A,B
0CYED8QSXP2AWRN1NNRS-QR5AHNRSRTCZ1R61SGK6,2,0CYED8QSXP2AWRN1NNRS,QR5AHNRSRTCZ1R61SGK6,1.6665792352548874,2.1832465075657894,17.633251781220586,0.2073469821581179,2,2,18,0,B,A,B,B
