id,n_samples,n_clusters,davies_bouldin,dunn_index,calinski_harabasz,silhouette
00A87W92PAZCZZ055HJR,1000,4,0.7997271398724679,0.8552019979508827,549.017331190125,0.3631575748578855
0179ZZQ38GKT7V8AP630,1000,2,0.8630078842668172,1.2686119525531558,329.6575903899759,0.3387009814424375
01D42XYDNATN92M99X37,1000,2,0.6602972379645872,1.7685035115781522,796.5908172150919,0.4398491141692361
01J8YS1BMH2T4CF7TKT0,1000,2,0.6792097428145288,1.857085907704813,677.5895395837698,0.455022975988506
02TR7NXQ8XC8B47373CB,1000,5,0.7321900222008443,1.202320283386413,991.5971642370815,0.42269192330836153
038YME1X52FRBENFZHKW,1000,5,0.8701565342840617,1.6211402257175036,1163.6152394984988,0.3916564993298722
0430SA5F79TW00ZMBQAH,1000,4,0.8024808763223266,1.5114000604197508,936.8737758788201,0.41478409946382094
046FSHNSW30BVZS8WTQ0,1000,3,0.7463385432471483,2.22872252615735,1128.0073868523468,0.4452541625419121
04899WHVEKQE8KBR3064,1000,5,0.9430649108209288,0.9316027980165996,583.8912977987477,0.35184324103177245
04BVHF9JX3M5YEFJYQMC,1000,2,0.7079240763506147,1.8104420812120012,675.0736608472013,0.4267479365948512
04YJ590C2T1NJEJQ1T5M,1000,4,0.857999064552545,0.6965898921701207,898.9407029458017,0.360670273122292
04YR4513BV9RF9C9CQRX,1000,5,0.7007626617637616,0.8242027624029732,1175.4944797485925,0.40298590898987025
06833TEHZ5J4HYP6RW6Z,1000,4,0.6598338284943893,1.2643403373546254,1155.0135691874139,0.431047137170597
06FE3C4Y2VNB9WB6YWTW,1000,4,0.664625682223759,1.9091775061227363,1236.7074708116065,0.47527217059568727
0779PZZ5A90YA2ZNC5Q2,1000,4,0.7817611737036537,1.3180848384616752,702.2559025695364,0.3591863401913717
08KV9WM79G3RN97883NX,1000,5,0.8540767186676194,1.1200842689612949,786.7266667001475,0.4118855962657025
0962V5BGJ958PDX5MD3Q,1000,4,1.0423806519785246,0.40040797494119745,401.53641563656913,0.2812752168153537
0989AZF5SS0HKACW0H10,1000,5,0.8570659585121897,1.6311227828574997,1180.5670559629614,0.39393813977233755
0AVX1F1NHZP02XY7888D,1000,3,0.8375496425116234,1.4456335373876712,555.2659225601736,0.4441669981572791
0B91ZWH7A7KEV6EJ0GK6,1000,4,0.7474130990587333,0.5961064584923934,786.4781683548399,0.355497093731134
0BGZ0TYT96JQBXM5CCVN,1000,4,1.143402567886692,0.7105607440996219,330.3040906746243,0.28168926430116936
0CYED8QSXP2AWRN1NNRS,1000,2,0.6556969929308248,1.7155603836567808,758.936879613046,0.43465397483291257
0D98PEF9HK05HPN397CA,1000,4,0.8522967697334509,0.871128763491848,584.107942187674,0.35862918378262504
0F345SPR13M7D1E4SWEH,1000,3,0.7285728751359078,1.9609878204089692,1129.24292357313,0.4568413473157284
0F8VNT32D1K7VST5YNEA,1000,5,0.6785146354294966,1.3153515186238756,981.5348437110142,0.4361788887680859
0FGQQRPPEVZWQ6ESQRWS,1000,2,0.6999903056338314,2.36345829093415,1010.6555358201855,0.48462213379060337
0H1HTWQ5SF4HPN5NWNZF,1000,5,0.8668631845094277,0.4227011388523451,458.8569992934188,0.3036792907115689
0JGSQYMN58NRJY8TTDT9,1000,3,0.7406293140302099,1.6605244312608118,1380.6135904674707,0.5185198508617948
0KFQ8MF3KTQMGAQTHBFE,1000,3,0.6567810289910079,1.4861587770100815,881.2373628384902,0.45549796269460713
0KPXXA0PWHKV5QV2YN8J,1000,5,0.6447727670017442,0.8369984399602924,898.4929513375729,0.4663131232867708
0M1CPSSSTX0DXDKKXRPB,1000,5,0.8073402628885091,1.4925900624511692,886.7448577012967,0.41349990505047374
0NENM8PYWDE3NDJ9HDDP,1000,4,0.8660978592283526,0.9768987228174228,514.0353921692263,0.3641785451460068
0NQRPX3HJY6HPQX3MWSX,1000,3,0.7009505081136377,2.015561257856901,1356.5653297345773,0.4766750741435457
