user,id,response
5BBCFB956A5A4E06B35BAC4D1B240707,00A87W92PAZCZZ055HJR-3JENDNVFSG3176DTWWWF,NONE
DD613E4F262A48B79A76E673087A1070,00A87W92PAZCZZ055HJR-3JENDNVFSG3176DTWWWF,B
5BBCFB956A5A4E06B35BAC4D1B240707,0179ZZQ38GKT7V8AP630-FQEDN2RB88CCHPDAY3PB,A
DD613E4F262A48B79A76E673087A1070,0179ZZQ38GKT7V8AP630-FQEDN2RB88CCHPDAY3PB,B
5BBCFB956A5A4E06B35BAC4D1B240707,01D42XYDNATN92M99X37-4Z5W66ZWS1EZET58304A,A
DD613E4F262A48B79A76E673087A1070,01D42XYDNATN92M99X37-4Z5W66ZWS1EZET58304A,A
5BBCFB956A5A4E06B35BAC4D1B240707,01J8YS1BMH2T4CF7TKT0-CP6WJBHQQ851PQ1JTN76,A
DD613E4F262A48B79A76E673087A1070,01J8YS1BMH2T4CF7TKT0-CP6WJBHQQ851PQ1JTN76,A
5BBCFB956A5A4E06B35BAC4D1B240707,02TR7NXQ8XC8B47373CB-CYN9RA3XJSYCWCGKDY87,B
DD613E4F262A48B79A76E673087A1070,02TR7NXQ8XC8B47373CB-CYN9RA3XJSYCWCGKDY87,B
5BBCFB956A5A4E06B35BAC4D1B240707,038YME1X52FRBENFZHKW-N6A32VA3FF9N981MR5DB,B
DD613E4F262A48B79A76E673087A1070,038YME1X52FRBENFZHKW-N6A32VA3FF9N981MR5DB,B
5BBCFB956A5A4E06B35BAC4D1B240707,0430SA5F79TW00ZMBQAH-1RC72T5A452FWTVEGX39,B
DD613E4F262A48B79A76E673087A1070,0430SA5F79TW00ZMBQAH-1RC72T5A452FWTVEGX39,B
5BBCFB956A5A4E06B35BAC4D1B240707,046FSHNSW30BVZS8WTQ0-CGD6Y6QNW8N5MRAW97KP,B
DD613E4F262A48B79A76E673087A1070,046FSHNSW30BVZS8WTQ0-CGD6Y6QNW8N5MRAW97KP,B
5BBCFB956A5A4E06B35BAC4D1B240707,04899WHVEKQE8KBR3064-12B45VWP2ZHZW6R2R44E,NONE
DD613E4F262A48B79A76E673087A1070,04899WHVEKQE8KBR3064-12B45VWP2ZHZW6R2R44E,NONE
5BBCFB956A5A4E06B35BAC4D1B240707,04BVHF9JX3M5YEFJYQMC-9VE466BGTBDNT730NJJA,B
DD613E4F262A48B79A76E673087A1070,04BVHF9JX3M5YEFJYQMC-9VE466BGTBDNT730NJJA,B
5BBCFB956A5A4E06B35BAC4D1B240707,04YJ590C2T1NJEJQ1T5M-ZTTJZWA3QF0X0V1QKJD6,A
DD613E4F262A48B79A76E673087A1070,04YJ590C2T1NJEJQ1T5M-ZTTJZWA3QF0X0V1QKJD6,A
5BBCFB956A5A4E06B35BAC4D1B240707,04YR4513BV9RF9C9CQRX-DGERBQRT708WJ7HMDMZP,NONE
DD613E4F262A48B79A76E673087A1070,04YR4513BV9RF9C9CQRX-DGERBQRT708WJ7HMDMZP,NONE
5BBCFB956A5A4E06B35BAC4D1B240707,06833TEHZ5J4HYP6RW6Z-TWTN9CHXH3RJCDHY0A3N,B
DD613E4F262A48B79A76E673087A1070,06833TEHZ5J4HYP6RW6Z-TWTN9CHXH3RJCDHY0A3N,B
5BBCFB956A5A4E06B35BAC4D1B240707,06FE3C4Y2VNB9WB6YWTW-71NX6C5F06PMMY0DWYQ7,NONE
DD613E4F262A48B79A76E673087A1070,06FE3C4Y2VNB9WB6YWTW-71NX6C5F06PMMY0DWYQ7,B
5BBCFB956A5A4E06B35BAC4D1B240707,0779PZZ5A90YA2ZNC5Q2-WNH5BEEC9WGKH569Q2WG,B
DD613E4F262A48B79A76E673087A1070,0779PZZ5A90YA2ZNC5Q2-WNH5BEEC9WGKH569Q2WG,NONE
5BBCFB956A5A4E06B35BAC4D1B240707,08KV9WM79G3RN97883NX-D36T7JZAH9YTQ6DFEWPM,NONE
DD613E4F262A48B79A76E673087A1070,08KV9WM79G3RN97883NX-D36T7JZAH9YTQ6DFEWPM,NONE
5BBCFB956A5A4E06B35BAC4D1B240707,0962V5BGJ958PDX5MD3Q-QYQKGJKCXAAZ22BE5ZK8,A
DD613E4F262A48B79A76E673087A1070,0962V5BGJ958PDX5MD3Q-QYQKGJKCXAAZ22BE5ZK8,A
5BBCFB956A5A4E06B35BAC4D1B240707,0989AZF5SS0HKACW0H10-8RKZCC8PJJF7E8M0ZPSV,B
DD613E4F262A48B79A76E673087A1070,0989AZF5SS0HKACW0H10-8RKZCC8PJJF7E8M0ZPSV,B
5BBCFB956A5A4E06B35BAC4D1B240707,0AVX1F1NHZP02XY7888D-WTTX5H8CP3FDYWJ0PDWZ,A
DD613E4F262A48B79A76E673087A1070,0AVX1F1NHZP02XY7888D-WTTX5H8CP3FDYWJ0PDWZ,A
5BBCFB956A5A4E06B35BAC4D1B240707,0B91ZWH7A7KEV6EJ0GK6-FSTBT16YVHKQK9WFS4XE,A
DD613E4F262A48B79A76E673087A1070,0B91ZWH7A7KEV6EJ0GK6-FSTBT16YVHKQK9WFS4XE,A
5BBCFB956A5A4E06B35BAC4D1B240707,0BGZ0TYT96JQBXM5CCVN-AWJEMRRS0Z7J66B2HEXF,A
DD613E4F262A48B79A76E673087A1070,0BGZ0TYT96JQBXM5CCVN-AWJEMRRS0Z7J66B2HEXF,A
5BBCFB956A5A4E06B35BAC4D1B240707,0CYED8QSXP2AWRN1NNRS-QR5AHNRSRTCZ1R61SGK6,B
DD613E4F262A48B79A76E673087A1070,0CYED8QSXP2AWRN1NNRS-QR5AHNRSRTCZ1R61SGK6,B
5BBCFB956A5A4E06B35BAC4D1B240707,0D98PEF9HK05HPN397CA-KG7AC43EK84Y1VNTETAT,A
DD613E4F262A48B79A76E673087A1070,0D98PEF9HK05HPN397CA-KG7AC43EK84Y1VNTETAT,A
5BBCFB956A5A4E06B35BAC4D1B240707,0F345SPR13M7D1E4SWEH-81W9C6MJ2QG0A8Q7GMKG,A
DD613E4F262A48B79A76E673087A1070,0F345SPR13M7D1E4SWEH-81W9C6MJ2QG0A8Q7GMKG,A
5BBCFB956A5A4E06B35BAC4D1B240707,0F8VNT32D1K7VST5YNEA-XSA86Z9H391E0FKWMB96,B
DD613E4F262A48B79A76E673087A1070,0F8VNT32D1K7VST5YNEA-XSA86Z9H391E0FKWMB96,NONE
5BBCFB956A5A4E06B35BAC4D1B240707,0FGQQRPPEVZWQ6ESQRWS-782YFWS8SM8EY3W351K3,B
DD613E4F262A48B79A76E673087A1070,0FGQQRPPEVZWQ6ESQRWS-782YFWS8SM8EY3W351K3,B
5BBCFB956A5A4E06B35BAC4D1B240707,0H1HTWQ5SF4HPN5NWNZF-ZEY8V1M48W8A13RWDGEB,B
DD613E4F262A48B79A76E673087A1070,0H1HTWQ5SF4HPN5NWNZF-ZEY8V1M48W8A13RWDGEB,B
5BBCFB956A5A4E06B35BAC4D1B240707,0JGSQYMN58NRJY8TTDT9-BXWTGS7W4J3RC9FWHV7R,NONE
DD613E4F262A48B79A76E673087A1070,0JGSQYMN58NRJY8TTDT9-BXWTGS7W4J3RC9FWHV7R,NONE
5BBCFB956A5A4E06B35BAC4D1B240707,0KFQ8MF3KTQMGAQTHBFE-101VCKQ936BF97M5S3V8,B
DD613E4F262A48B79A76E673087A1070,0KFQ8MF3KTQMGAQTHBFE-101VCKQ936BF97M5S3V8,B
5BBCFB956A5A4E06B35BAC4D1B240707,0KPXXA0PWHKV5QV2YN8J-MTMH6AJF4GYY2D79P2EW,A
DD613E4F262A48B79A76E673087A1070,0KPXXA0PWHKV5QV2YN8J-MTMH6AJF4GYY2D79P2EW,B
5BBCFB956A5A4E06B35BAC4D1B240707,0M1CPSSSTX0DXDKKXRPB-MTJ5XG4MG0XYZKE3JPMY,A
DD613E4F262A48B79A76E673087A1070,0M1CPSSSTX0DXDKKXRPB-MTJ5XG4MG0XYZKE3JPMY,A
5BBCFB956A5A4E06B35BAC4D1B240707,0NENM8PYWDE3NDJ9HDDP-1AQW1JHD1XTD3KGCSHXY,NONE
DD613E4F262A48B79A76E673087A1070,0NENM8PYWDE3NDJ9HDDP-1AQW1JHD1XTD3KGCSHXY,NONE
5BBCFB956A5A4E06B35BAC4D1B240707,0NQRPX3HJY6HPQX3MWSX-P4QSB796NGAP4XAXP8PC,B
DD613E4F262A48B79A76E673087A1070,0NQRPX3HJY6HPQX3MWSX-P4QSB796NGAP4XAXP8PC,B
5BBCFB956A5A4E06B35BAC4D1B240707,0P0X47V171MG1HCGR2ST-DW39GYXH63FE3B9E5GA0,A
DD613E4F262A48B79A76E673087A1070,0P0X47V171MG1HCGR2ST-DW39GYXH63FE3B9E5GA0,A
5BBCFB956A5A4E06B35BAC4D1B240707,0Q18W6SM38GJX76NDTMK-6VVS86B49VVH1FK4FWQB,A
DD613E4F262A48B79A76E673087A1070,0Q18W6SM38GJX76NDTMK-6VVS86B49VVH1FK4FWQB,A
5BBCFB956A5A4E06B35BAC4D1B240707,0Q3PFGPPAQSEJB45BZAZ-X5ZKR37VQYWVJ15VWFYF,B
DD613E4F262A48B79A76E673087A1070,0Q3PFGPPAQSEJB45BZAZ-X5ZKR37VQYWVJ15VWFYF,B
5BBCFB956A5A4E06B35BAC4D1B240707,0QGX4FA37ES419EA00ZD-CKSPXKV1N8BZF1W2WM48,NONE
DD613E4F262A48B79A76E673087A1070,0QGX4FA37ES419EA00ZD-CKSPXKV1N8BZF1W2WM48,NONE
5BBCFB956A5A4E06B35BAC4D1B240707,0QQE5V0BY362N1BA8PF7-SCN7M5JJ82MXQH5730B9,B
DD613E4F262A48B79A76E673087A1070,0QQE5V0BY362N1BA8PF7-SCN7M5JJ82MXQH5730B9,B
5BBCFB956A5A4E06B35BAC4D1B240707,0QSPGH3SPW138GWBAVRA-24Q9RHH9RVDMZ8R0JWB4,NONE
DD613E4F262A48B79A76E673087A1070,0QSPGH3SPW138GWBAVRA-24Q9RHH9RVDMZ8R0JWB4,NONE
5BBCFB956A5A4E06B35BAC4D1B240707,0QT6MFY1STBFBHMAH6J5-R3H8XPV95RSGQSFSM16V,NONE
DD613E4F262A48B79A76E673087A1070,0QT6MFY1STBFBHMAH6J5-R3H8XPV95RSGQSFSM16V,NONE
5BBCFB956A5A4E06B35BAC4D1B240707,0RD0RYHM21NZR7WCC9ER-60DF9JMM8Q91WP2XQ2C3,B
DD613E4F262A48B79A76E673087A1070,0RD0RYHM21NZR7WCC9ER-60DF9JMM8Q91WP2XQ2C3,B
5BBCFB956A5A4E06B35BAC4D1B240707,0T2BER01MA8KKAN56EYV-FC2W7M41507VPRKR59G1,A
DD613E4F262A48B79A76E673087A1070,0T2BER01MA8KKAN56EYV-FC2W7M41507VPRKR59G1,A
5BBCFB956A5A4E06B35BAC4D1B240707,0WBD1PDM0M3B4HQD30WK-2MQHP3HYF85AXSP6V27Z,B
DD613E4F262A48B79A76E673087A1070,0WBD1PDM0M3B4HQD30WK-2MQHP3HYF85AXSP6V27Z,A
5BBCFB956A5A4E06B35BAC4D1B240707,0YV40E8DSCCK6MM8P7R6-WV9MTCW7C6XEAVM4CY03,NONE
DD613E4F262A48B79A76E673087A1070,0YV40E8DSCCK6MM8P7R6-WV9MTCW7C6XEAVM4CY03,NONE
5BBCFB956A5A4E06B35BAC4D1B240707,10Y6AMWC58NRNHKZJ6Y8-F5TB0GXWVHGWKX1Y725W,A
DD613E4F262A48B79A76E673087A1070,10Y6AMWC58NRNHKZJ6Y8-F5TB0GXWVHGWKX1Y725W,NONE
5BBCFB956A5A4E06B35BAC4D1B240707,10Y6AMWC58NRNHKZJ6Y8-JTXQB1MX33RQW2PC1P08,A
DD613E4F262A48B79A76E673087A1070,10Y6AMWC58NRNHKZJ6Y8-JTXQB1MX33RQW2PC1P08,A
5BBCFB956A5A4E06B35BAC4D1B240707,12KAM1NATN0AH5BTTC0G-V1YGRYB74CFT0198DE6K,A
DD613E4F262A48B79A76E673087A1070,12KAM1NATN0AH5BTTC0G-V1YGRYB74CFT0198DE6K,NONE
5BBCFB956A5A4E06B35BAC4D1B240707,12Y74D8C6SK4P4ENE3KQ-8GWGZ4TX0JMYC7F1EF8G,A
DD613E4F262A48B79A76E673087A1070,12Y74D8C6SK4P4ENE3KQ-8GWGZ4TX0JMYC7F1EF8G,B
5BBCFB956A5A4E06B35BAC4D1B240707,13HZ9SYSXW3JK491XK94-BY9YHS9G718AAFHXJAPS,B
DD613E4F262A48B79A76E673087A1070,13HZ9SYSXW3JK491XK94-BY9YHS9G718AAFHXJAPS,A
5BBCFB956A5A4E06B35BAC4D1B240707,13PT2NM7HPMPHP7YNP19-QQ2H3T47VNNMWGHB9DD4,A
DD613E4F262A48B79A76E673087A1070,13PT2NM7HPMPHP7YNP19-QQ2H3T47VNNMWGHB9DD4,A
5BBCFB956A5A4E06B35BAC4D1B240707,144CHFKE7PQAQHCJ2GQP-VN4YWP6H7FJFPT8JJ3ZR,A
DD613E4F262A48B79A76E673087A1070,144CHFKE7PQAQHCJ2GQP-VN4YWP6H7FJFPT8JJ3ZR,A
5BBCFB956A5A4E06B35BAC4D1B240707,14H3CTKQDPG1G27ND8F2-AGV12ZNTTZ9HXWM8EXJ3,A
DD613E4F262A48B79A76E673087A1070,14H3CTKQDPG1G27ND8F2-AGV12ZNTTZ9HXWM8EXJ3,A
5BBCFB956A5A4E06B35BAC4D1B240707,151YK81ZYPSH0X7QGWET-78Q3C12V9JTSZHGAPAF7,B
DD613E4F262A48B79A76E673087A1070,151YK81ZYPSH0X7QGWET-78Q3C12V9JTSZHGAPAF7,B
5BBCFB956A5A4E06B35BAC4D1B240707,1560R9HXD4H7TKN3E1XR-5T0JDD75WP43B7VVBD0D,B
DD613E4F262A48B79A76E673087A1070,1560R9HXD4H7TKN3E1XR-5T0JDD75WP43B7VVBD0D,NONE
5BBCFB956A5A4E06B35BAC4D1B240707,15V5FG1NJH8XZMJ8MS3T-A3JDWD9NR306FJ16FTFE,B
DD613E4F262A48B79A76E673087A1070,15V5FG1NJH8XZMJ8MS3T-A3JDWD9NR306FJ16FTFE,B
5BBCFB956A5A4E06B35BAC4D1B240707,15YGVGA4MB2T5Y4KKY6B-TM74B00S1CJN2GZXM6EF,A
DD613E4F262A48B79A76E673087A1070,15YGVGA4MB2T5Y4KKY6B-TM74B00S1CJN2GZXM6EF,A
5BBCFB956A5A4E06B35BAC4D1B240707,16Z3EVPZGAH0GACPDEXD-B0R66P1XF8SA6CASGKQE,A
DD613E4F262A48B79A76E673087A1070,16Z3EVPZGAH0GACPDEXD-B0R66P1XF8SA6CASGKQE,A
5BBCFB956A5A4E06B35BAC4D1B240707,1883S2JA6T7QJR7CQ1PS-5N0KHFQZH51FAGZ5SKWS,B
DD613E4F262A48B79A76E673087A1070,1883S2JA6T7QJR7CQ1PS-5N0KHFQZH51FAGZ5SKWS,B
5BBCFB956A5A4E06B35BAC4D1B240707,18EAHHRH7705M5TDD012-499KYKZEF8SGHS4CCT5T,A
DD613E4F262A48B79A76E673087A1070,18EAHHRH7705M5TDD012-499KYKZEF8SGHS4CCT5T,A
5BBCFB956A5A4E06B35BAC4D1B240707,18MNYQ1ENA0YN0Z9E0X0-GEGF71XFXTSXNMJB0T2P,A
DD613E4F262A48B79A76E673087A1070,18MNYQ1ENA0YN0Z9E0X0-GEGF71XFXTSXNMJB0T2P,A
5BBCFB956A5A4E06B35BAC4D1B240707,198EVES7BA4DDJWG4WT0-VF6WVYRQGNAMW74FTX1J,A
DD613E4F262A48B79A76E673087A1070,198EVES7BA4DDJWG4WT0-VF6WVYRQGNAMW74FTX1J,A
5BBCFB956A5A4E06B35BAC4D1B240707,1AQW1JHD1XTD3KGCSHXY-KXEYW90SF83CW112T2VJ,A
DD613E4F262A48B79A76E673087A1070,1AQW1JHD1XTD3KGCSHXY-KXEYW90SF83CW112T2VJ,A
5BBCFB956A5A4E06B35BAC4D1B240707,1B9WA0ZRKD8SXV8AYK19-XHQ38V2Y73P667F79WHN,NONE
DD613E4F262A48B79A76E673087A1070,1B9WA0ZRKD8SXV8AYK19-XHQ38V2Y73P667F79WHN,NONE
5BBCFB956A5A4E06B35BAC4D1B240707,1BXTYEV3VNMN7V0948NY-G2HQ07V0PDY8TAYW6FR9,NONE
DD613E4F262A48B79A76E673087A1070,1BXTYEV3VNMN7V0948NY-G2HQ07V0PDY8TAYW6FR9,NONE
5BBCFB956A5A4E06B35BAC4D1B240707,1DFFWKHC04TZSW0T2BJD-Z4Q78KJ41E8G8GMWMQWW,NONE
DD613E4F262A48B79A76E673087A1070,1DFFWKHC04TZSW0T2BJD-Z4Q78KJ41E8G8GMWMQWW,NONE
5BBCFB956A5A4E06B35BAC4D1B240707,1E27CE9ZVX6FKTJAJ3KE-8QAW692NCXW9ST87WF54,A
DD613E4F262A48B79A76E673087A1070,1E27CE9ZVX6FKTJAJ3KE-8QAW692NCXW9ST87WF54,A
5BBCFB956A5A4E06B35BAC4D1B240707,1E2E2DGMD24PVA7X2EZ2-Z1WVDNK4RA6ACQ1E9Y0Y,NONE
DD613E4F262A48B79A76E673087A1070,1E2E2DGMD24PVA7X2EZ2-Z1WVDNK4RA6ACQ1E9Y0Y,NONE
5BBCFB956A5A4E06B35BAC4D1B240707,1E599A14BFW1W8N11GJR-E7Z8T949G5GGCSYW2ZSV,A
DD613E4F262A48B79A76E673087A1070,1E599A14BFW1W8N11GJR-E7Z8T949G5GGCSYW2ZSV,A
5BBCFB956A5A4E06B35BAC4D1B240707,1EQ77NRYQ6KJ56E2714P-K7C0WJWA3TC0K3H4381Z,B
DD613E4F262A48B79A76E673087A1070,1EQ77NRYQ6KJ56E2714P-K7C0WJWA3TC0K3H4381Z,A
