x,mean,ci_min,ci_max
0.0,0.9215686274509803,0.8477816480947588,0.9953556068072019
1.0,0.9473684210526315,0.8971651601974271,0.997571681907836
2.0,0.975609756097561,0.9283914631845562,1.0228280490105657
3.0,0.8709677419354839,0.7529559490642277,0.9889795348067401
4.0,0.9393939393939394,0.8579833298781219,1.020804548909757
5.0,1.0,1.0,1.0
6.0,0.9714285714285714,0.9162343688344583,1.0266227740226845
7.0,0.9705882352941176,0.9137952541870057,1.0273812164012295
8.0,1.0,1.0,1.0
9.0,1.0,1.0,1.0
10.0,1.0,1.0,1.0
11.0,0.9629629629629629,0.8917273609135696,1.0341985650123562
12.0,1.0,1.0,1.0
13.0,1.0,1.0,1.0
14.0,1.0,1.0,1.0
15.0,0.9444444444444444,0.8386234656120667,1.050265423276822
16.0,1.0,1.0,1.0
17.0,1.0,1.0,1.0
18.0,1.0,1.0,1.0
19.0,1.0,1.0,1.0
20.0,0.9523809523809523,0.8612969455724225,1.043464959189482
21.0,0.9473684210526315,0.8469618993422228,1.0477749427630403
22.0,1.0,1.0,1.0
23.0,1.0,1.0,1.0
24.0,1.0,1.0,1.0
25.0,1.0,1.0,1.0
26.0,1.0,1.0,1.0
27.0,1.0,1.0,1.0
28.0,1.0,1.0,1.0
29.0,1.0,1.0,1.0
30.0,1.0,1.0,1.0
31.0,1.0,1.0,1.0
32.0,1.0,1.0,1.0
33.0,1.0,1.0,1.0
34.0,1.0,1.0,1.0
35.0,1.0,1.0,1.0
36.0,1.0,1.0,1.0
37.0,1.0,1.0,1.0
38.0,1.0,1.0,1.0
39.0,1.0,1.0,1.0
40.0,1.0,1.0,1.0
41.0,1.0,1.0,1.0
42.0,1.0,1.0,1.0
43.0,1.0,1.0,1.0
44.0,1.0,1.0,1.0
45.0,1.0,1.0,1.0
46.0,1.0,1.0,1.0
47.0,1.0,1.0,1.0
48.0,1.0,1.0,1.0
49.0,1.0,1.0,1.0
50.0,1.0,1.0,1.0
51.0,1.0,1.0,1.0
52.0,1.0,1.0,1.0
53.0,1.0,1.0,1.0
54.0,1.0,1.0,1.0
55.0,1.0,1.0,1.0
56.0,1.0,1.0,1.0
57.0,1.0,1.0,1.0
58.0,1.0,1.0,1.0
59.0,1.0,1.0,1.0
60.0,1.0,1.0,1.0
61.0,1.0,1.0,1.0
62.0,1.0,1.0,1.0
63.0,1.0,1.0,1.0
64.0,1.0,1.0,1.0
65.0,1.0,1.0,1.0
66.0,1.0,1.0,1.0
67.0,1.0,1.0,1.0
68.0,1.0,1.0,1.0
69.0,1.0,1.0,1.0
70.0,1.0,1.0,1.0
71.0,1.0,1.0,1.0
72.0,1.0,1.0,1.0
73.0,1.0,1.0,1.0
74.0,1.0,1.0,1.0
75.0,1.0,1.0,1.0
76.0,1.0,1.0,1.0
77.0,1.0,1.0,1.0
78.0,1.0,1.0,1.0
79.0,1.0,1.0,1.0
80.0,1.0,1.0,1.0
81.0,1.0,1.0,1.0
82.0,1.0,1.0,1.0
83.0,1.0,1.0,1.0
84.0,1.0,1.0,1.0
85.0,1.0,1.0,1.0
86.0,1.0,1.0,1.0
87.0,1.0,1.0,1.0
88.0,1.0,1.0,1.0
89.0,1.0,1.0,1.0
90.0,1.0,1.0,1.0
91.0,1.0,1.0,1.0
92.0,1.0,1.0,1.0
93.0,1.0,1.0,1.0
94.0,1.0,1.0,1.0
95.0,1.0,1.0,1.0
96.0,1.0,1.0,1.0
97.0,1.0,1.0,1.0
98.0,1.0,1.0,1.0
99.0,1.0,1.0,1.0
